Date,ConfirmedTotalCases,TotalInfections,TotalNumberPeopleTested,TotalDeaths,DeathsPerDay,AdmittedToHospital,AdmittedToICU,PatientsInRespirator
M04D29,9008,6366,180062,454,9,267,66,50
M04D30,9158,6564,193165,463,9,255,62,50
M05D01,9311,6729,206576,474,11,249,61,44
M05D02,9407,6889,221912,482,8,232,60,44
M05D03,9523,6987,233799,491,9,243,62,46
M05D04,9670,7088,244791,498,7,252,57,45
M05D05,9821,7296,257738,501,3,228,49,39
M05D06,9938,7493,270680,507,6,209,46,41
M05D07,10083,7711,284480,513,6,199,43,39
M05D08,10218,7927,298488,517,4,205,42,35
M05D09,10319,8093,308984,520,3,194,39,32
M05D10,10429,8217,317834,525,5,196,40,33
M05D11,10513,8328,326560,529,4,198,43,33
M05D12,10591,8580,334260,536,7,177,43,32
M05D13,10667,8663,345712,541,5,164,37,32
M05D14,10713,8805,357986,541,0,147,35,28
M05D15,10791,8959,368889,547,6,137,32,26
M05D16,10858,9107,379482,550,3,140,28,22
M05D17,10927,9227,388703,553,3,133,27,21
M05D18,10968,9301,394394,556,3,144,26,21
M05D19,11044,9416,402194,558,2,141,25,18
M05D20,11117,9536,412051,563,5,127,25,16
M05D21,11182,9643,425101,563,0,122,23,18
M05D22,11230,9764,433971,564,1,119,23,19
M05D23,11289,9836,442650,565,1,118,19,16
M05D24,11360,9900,451450,566,1,115,21,17
M05D25,11387,9964,458305,566,0,116,20,16
M05D26,11428,10044,467009,569,3,112,23,14
M05D27,11480,10106,480239,570,1,107,22,11
M05D28,11512,10180,484482,570,0,110,20,11
M05D29,11593,10240,504543,571,1,106,18,10
M05D30,11633,10327,514467,575,4,100,20,11
M05D31,11669,10362,522594,577,2,98,20,10
M06D01,11699,10412,528982,580,3,103,20,11
M06D02,11734,10489,534782,581,1,99,21,11
M06D03,11771,10552,542895,582,1,100,20,10
M06D04,11811,10620,552888,586,4,97,17,8
M06D05,11875,10653,562905,588,2,85,17,10
M06D06,11924,10721,571832,591,3,81,15,9
M06D07,11948,10755,579400,593,2,75,15,9
M06D08,11962,10792,585024,593,0,79,16,7
M06D09,12001,10849,594790,593,0,73,15,5
M06D10,12016,10904,602118,593,0,71,17,7
M06D11,12035,10955,609672,594,1,63,14,7
M06D12,12099,10993,627155,597,3,63,14,7
M06D13,12139,11035,637701,597,0,54,11,5
M06D14,12193,11068,648326,598,1,55,11,5
M06D15,12217,11090,656418,598,0,58,10,4
M06D16,12250,11125,664603,599,1,60,9,4
M06D17,12294,11185,677270,600,1,39,6,4
M06D18,12344,11242,691419,601,1,38,6,3
M06D19,12391,11282,704269,602,1,37,6,2
M06D20,NULL,NULL,NULL,603,1,NULL,NULL,NULL
M06D21,NULL,NULL,NULL,603,0,NULL,NULL,NULL
M06D22,12527,11347,738916,603,0,37,7,4
M06D23,12561,11393,749603,604,1,32,8,5
M06D24,12615,11422,765002,604,0,33,8,4
M06D25,12636,11460,780330,605,1,36,9,4
M06D26,12675,11508,793499,605,0,31,11,4
M06D27,NULL,NULL,NULL,605,0,NULL,NULL,NULL
M06D28,NULL,NULL,NULL,606,1,NULL,NULL,NULL
M06D29,12751,11612,822264,606,0,35,9,4
M06D30,12768,11649,831196,606,0,32,10,4
M07D01,12794,11693,843483,606,0,29,11,4
M07D02,12815,11769,855637,606,0,29,9,5
M07D03,12832,11817,868185,606,0,27,6,4
M07D04,NULL,NULL,NULL,607,1,NULL,NULL,NULL
M07D05,NULL,NULL,NULL,607,0,NULL,NULL,NULL
M07D06,12878,11935,894073,609,2,23,7,4
M07D07,12888,11983,902129,609,0,17,5,4
M07D08,12900,12001,913373,609,0,18,5,4
M07D09,12916,12045,924644,609,0,18,5,4
M07D10,12946,12077,935053,610,1,17,4,4
M07D11,NULL,NULL,NULL,610,0,NULL,NULL,NULL
M07D12,NULL,NULL,NULL,610,0,NULL,NULL,NULL
M07D13,13037,12130,960821,610,0,18,6,3
M07D14,13061,12160,968455,610,0,17,6,3
M07D15,13092,12182,981280,610,0,19,6,3
M07D16,13124,12195,991101,610,0,17,5,3
M07D17,13173,12209,1001512,611,1,20,5,3
M07D18,NULL,NULL,NULL,611,0,NULL,NULL,NULL
M07D19,NULL,NULL,NULL,611,0,NULL,NULL,NULL
M07D20,13262,12251,1019131,611,0,18,3,2
M07D21,13302,12261,1032598,611,0,18,4,2
M07D22,13350,12274,1044211,613,2,16,4,3
M07D23,13392,12299,1057333,613,0,19,3,3
M07D24,13438,12340,1070653,613,0,16,3,3
M07D25,NULL,NULL,NULL,613,0,NULL,NULL,NULL
M07D26,NULL,NULL,NULL,613,0,NULL,NULL,NULL
M07D27,13547,12417,1098535,613,0,23,3,3
M07D28,13577,12451,1107638,614,1,22,3,3
M07D29,13634,12485,1120675,615,1,21,3,3
M07D30,13725,12526,1134433,615,0,18,3,2
M07D31,13789,12578,1147765,616,1,18,3,2
M08D01,NULL,NULL,NULL,616,0,NULL,NULL,NULL
M08D02,NULL,NULL,NULL,616,0,NULL,NULL,NULL
M08D03,13996,12682,1182260,616,0,24,2,2
M08D04,14073,12715,1193168,616,0,24,3,2
M08D05,14185,12753,1207838,617,1,23,2,2
M08D06,14306,12787,1223486,617,0,24,2,2
M08D07,14442,12840,1239335,617,0,25,2,2
M08D08,NULL,NULL,NULL,618,1,NULL,NULL,NULL
M08D09,NULL,NULL,NULL,620,2,NULL,NULL,NULL
M08D10,14815,12925,1286375,621,1,23,2,2
M08D11,14861,12988,1301236,621,0,20,2,1
M08D12,15070,13066,1316041,621,0,16,1,0
M08D13,15214,13131,1335826,621,0,13,1,0
M08D14,15379,13216,1357855,621,0,14,1,0
M08D15,15483,13275,1379014,621,0,14,0,0
M08D16,15617,13340,1400577,621,0,12,0,0
M08D17,15740,13417,1417864,621,0,16,1,1
M08D18,15855,13529,1434458,621,0,18,1,1
M08D19,15940,13651,1455017,621,0,16,1,1
M08D20,16056,13769,1482614,621,0,20,1,1
M08D21,16127,13944,1500384,622,1,22,1,1
M08D22,16239,14091,1525761,623,1,22,1,1
M08D23,16317,14180,1546974,623,0,19,2,1
M08D24,16397,14310,1565709,623,0,20,3,2
M08D25,16480,14465,1584789,624,1,21,3,2
M08D26,16537,14603,1606317,624,0,19,3,2
M08D27,16627,14763,1629993,624,0,19,2,2
M08D28,16700,14877,1653439,624,0,21,2,2
M08D29,16779,14989,1676300,624,0,21,4,4
M08D30,16891,15116,1696971,624,0,21,4,4
M08D31,16985,15205,1713288,626,2,23,4,4
M09D01,17084,15300,1730572,626,0,20,4,4
M09D02,17195,15413,1748934,626,0,15,4,2
M09D03,17374,15499,1771570,627,1,17,3,3
M09D04,17547,15586,1793415,627,0,18,3,3
M09D05,17736,15671,1817503,627,0,16,3,3
M09D06,17883,15760,1835618,628,1,27,4,3
M09D07,18113,15833,1854671,628,0,29,3,2
M09D08,18356,15907,1872805,628,0,28,3,2
M09D09,18607,15990,1893679,629,1,30,5,2
M09D10,18924,16069,1918785,629,0,35,5,2
M09D11,19216,16139,1944062,630,1,44,7,1
M09D12,19557,16247,1970742,631,1,43,4,2
M09D13,19890,16333,1998433,633,2,47,4,1
M09D14,20237,16437,2022130,633,0,50,4,1
M09D15,20571,16557,2046537,634,1,55,3,1
M09D16,NULL,NULL,NULL,635,1,NULL,NULL,NULL
M09D17,21393,16918,2102027,635,0,60,3,1
M09D18,21847,17110,2128433,635,0,58,3,1
M09D19,22436,17316,2154866,638,3,62,4,1
M09D20,22905,17514,2178466,641,3,59,9,3
M09D21,23323,17738,2197714,642,1,75,12,3
M09D22,23799,18035,2220218,644,2,79,14,5
M09D23,24357,18359,2246853,645,1,78,15,5
M09D24,24916,18646,2270273,647,2,95,14,5
M09D25,25594,19010,2295055,648,1,101,16,9
M09D26,26213,19350,2317214,649,1,97,17,11
M09D27,26637,19650,2336926,649,0,95,17,11
M09D28,27072,19942,2357180,650,1,110,17,11
M09D29,27464,20320,2375249,651,1,107,15,9
M09D30,27998,20754,2397485,651,0,102,15,10
M10D01,28396,21309,2417358,653,2,109,13,9
M10D02,28932,21824,2438448,655,2,106,17,12
M10D03,29302,22297,2454144,658,3,105,17,14
M10D04,29680,22716,2469134,661,3,105,18,15
M10D05,30057,23122,2483456,663,2,120,17,13
M10D06,30379,23665,2497905,663,0,124,15,13
M10D07,30710,24250,2514182,664,1,116,15,14
M10D08,31156,24899,2533756,666,2,115,17,14
M10D09,31638,25502,2553614,667,1,106,18,13
M10D10,32082,25987,2569929,670,3,103,20,13
M10D11,32422,26380,2582140,672,2,102,19,13
M10D12,32811,26741,2594769,675,3,107,19,13
M10D13,33101,27225,2604640,676,1,103,19,14
M10D14,33593,27680,2618613,677,1,104,17,11
M10D15,34023,28118,2629653,677,0,104,17,12
M10D16,34441,28551,2640504,679,2,110,16,11
M10D17,34941,28917,2652317,684,5,110,16,10
M10D18,35392,29255,2662072,687,3,119,17,11
M10D19,35844,29562,2671105,688,1,129,18,11
M10D20,36373,29998,2682655,691,3,128,15,9
M10D21,37003,30432,2696750,695,4,122,16,9
M10D22,37763,30877,2709615,699,4,124,17,12
M10D23,38622,31295,2723093,704,5,125,18,13
M10D24,39411,31701,2737622,707,3,120,17,14
M10D25,40356,31985,2755424,710,3,127,18,15
M10D26,41412,32237,2774222,713,3,145,17,12
M10D27,42157,32697,2789321,715,2,137,19,14
M10D28,43174,33126,2809894,718,3,136,18,15
M10D29,44034,33601,2824701,720,2,139,17,15
M10D30,45225,34052,2846245,721,1,144,17,14
M10D31,46351,34523,2866530,723,2,147,19,14
M11D01,47299,34959,2884136,724,1,156,19,14
M11D02,48241,35411,2901124,728,4,174,23,14
M11D03,49594,36111,2923556,731,3,169,22,14
M11D04,50530,36892,2939383,736,5,184,24,17
M11D05,51753,37756,2957171,739,3,182,24,17
M11D06,53180,38627,2981224,743,4,191,23,17
M11D07,54230,39490,2998259,744,1,187,29,20
M11D08,55121,40305,3016589,748,4,188,30,18
M11D09,55892,41232,3032754,752,4,196,33,21
M11D10,56958,42249,3057241,754,2,211,33,21
M11D11,57952,43483,3080721,755,1,216,40,22
M11D12,58963,44693,3102008,756,1,239,44,29
M11D13,60000,45705,3121095,757,1,236,40,27
M11D14,61078,46774,3141907,762,5,243,41,30
M11D15,62136,47747,3161349,765,3,259,45,29
M11D16,63331,48696,3181467,769,4,267,44,27
M11D17,64551,49961,3199098,771,2,259,41,26
M11D18,65808,51217,3220265,776,5,248,43,26
M11D19,67105,52445,3239806,779,3,255,41,21
M11D20,68362,53470,3258149,783,4,244,39,20
M11D21,69635,54436,3275193,788,5,237,40,21
M11D22,70485,55274,3289511,794,6,254,39,22
M11D23,71654,56032,3308512,797,3,261,41,22
M11D24,73021,57075,3329222,797,0,255,40,23
